2.00,5,9
2.01,2,2
2.02,1,17
2.03,6,1
2.04,3,2
2.05,2,2
2.06,2,1
2.07,1,1
2.08,5,5
2.09,5,2
2.10,6,12
2.11,9,19
2.12,10,4
2.13,5,20
2.14,8,19
2.15,9,19
2.16,9,20
2.17,10,20
2.18,6,16
2.19,6,19
3.00,1,10
3.01,2,19
3.02,8,7
3.03,7,12
3.04,4,5
3.05,10,15
3.06,1,6
3.07,5,11
3.08,4,14
3.09,8,18
3.10,8,19
3.11,3,11
3.12,5,4
3.13,5,4
3.14,7,6
3.15,7,17
3.16,8,6
3.17,3,16
3.18,7,6
3.19,7,19
4.00,4,11
4.01,2,5
4.02,5,13
4.03,6,16
4.04,3,7
4.05,7,13
4.06,7,15
4.07,5,4
4.08,6,4
4.09,5,12
4.10,5,8
4.11,6,13
4.12,4,13
4.13,9,13
4.14,5,15
4.15,5,13
4.16,7,15
4.17,5,5
4.18,5,10
4.19,3,9
5.00,1,19
5.01,1,19
5.02,1,20
5.03,3,17
5.04,3,9
5.05,1,14
5.06,1,16
5.07,2,12
5.08,1,20
5.09,6,18
5.10,7,14
5.11,2,8
5.12,1,17
5.13,2,10
5.14,5,20
5.15,1,17
5.16,2,20
5.17,4,20
5.18,3,20
5.19,5,9
6.00,10,1
6.01,5,4
6.02,5,6
6.03,2,9
6.04,1,2
6.05,1,18
6.06,5,19
6.07,2,10
6.08,1,10
6.09,3,7
6.10,8,18
6.11,6,8
6.12,6,3
6.13,9,16
6.14,10,8
6.15,10,6
6.16,6,9
6.17,9,3
6.18,10,4
